cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
1	601.1185201009115	3.3132531333333333	-1		
2	651.4839935326071	10.838500470588237	-1		
3	450.1605766699733	2.989509134210526	264		
4	852.5384589335123	9.626095322222223	-1		
5	437.1419709863217	3.30554115263158	-1		
6	620.3645790743012	7.119636808108107	-1		
7	409.2197555972359	5.38612192638889	-1		
8	499.3717048654724	9.434688375000002	-1		
9	474.2353363037109	1.6574322	-1		
10	312.21718177380217	6.436243105084741	-1		
11	590.3245826154879	7.313931807692307	-1		
12	344.2069038980807	3.1180161	-1		
13	288.1922575857186	2.5959868724137936	254		
14	667.453468777681	10.382129352941178	-1		
15	174.05509733181236	2.3039984739130435	-1		
16	385.16166432698566	4.50715605	-1		
17	456.3472532384536	4.409822682352941	67	17.0	N-(4-((6aR,8aS)-4-hydroxy-6a,8a,9-trimethyl-3,4,5,6,6a,6b,7,8,8a,8b,11a,12,12a,12b-tetradecahydro-1H-naphtho[2',1':4,5]indeno[2,1-b]furan-10-yl)-2-methylbutyl)acetamide
18	567.2950592041016	8.1986473	88	18.0	NCGC00384679-01_C33H44O9_(1S,2S,3aR,4S,5S,6E,9R,11R,12E,13aS)-4,9,11-Triacetoxy-3a-hydroxy-2,5,8,8,12-pentamethyl-2,3,3a,4,5,8,9,10,11,13a-decahydro-1H-cyclopenta[12]annulen-1-yl benzoate
19	548.3066630643957	3.784970147058824	-1		
20	687.3374633789062	8.7436854	-1		
21	383.0759395252575	2.0014235696969696	-1		
22	399.1627571859908	2.4278478545454543	-1		
23	487.2524992647807	4.297479025	-1		
24	348.722459825605	3.455813447457627	11		
25	355.079450654014	1.6672739097560976	-1		
26	225.1485123878531	3.040348354918033	296		
27	544.3628173856445	8.426717120000001	-1		
28	495.1478967684528	2.9983490499999985	-1		
29	487.1923600582254	2.551588292982456	-1		
30	600.4678344726562	8.550843154471544	-1		
31	403.23261949492667	8.56069000325203	-1	31.0	SCHEMBL658597
32	429.2997113413014	4.032971570588234	-1		
33	504.34322814989423	7.977464893333332	239		
34	358.1130813600301	3.27399182	959		
35	354.17669172902816	3.445317970588236	159		
36	542.3114318847656	7.626672500000001	-1		
37	370.2952471854726	7.182480750000001	-1		
38	453.2108981708577	2.819846033333333	-1		
39	461.1545673717152	3.764594409090909	804		
40	353.1204097991153	2.464394235294118	116		
41	422.373926163508	4.2469376625	-1		
42	428.1181320193726	3.13410868	-1		
43	307.1765270245187	2.2466159696428574	167		
44	373.1126627045537	2.295506353703704	-1		
45	233.1536338738228	5.282514886792452	-1		
46	532.3452459492563	7.319717361538459	-1		
47	710.3180236816406	4.110870950000001	71		
48	557.3194783541667	5.370435433333333	-1		
49	530.3585342453246	8.252529576666666	239		
50	596.3093867591051	7.415117024999998	-1		
51	462.2341093933498	2.9424680185714287	-1		
52	379.0996967328766	2.7962723316666662	-1		
53	443.0480254294226	0.6740633073239436	-1		
54	168.10201925543515	1.4140426265060235	35	54.0	4-(2-Aminoethyl)-2-methoxyphenol CollisionEnergy:102040
55	757.1968303881139	3.309684719047618	437		
56	172.1696154071764	5.049340366101695	124		
57	343.33193994559934	8.007116137398375	-1		
58	438.36903635739145	3.460182330555556	1232		
59	273.08194864293176	0.6215032314942531	94		
60	122.61606521606446	1.6742812399999998	-1		
61	648.2647094726562	3.3613571	326		
62	575.2598302564913	2.117789564705882	201		
63	405.26268157958987	5.83991352	-1		
64	534.3561975566572	7.7925446423728815	472		
65	464.321758195516	3.785703503921568	-1		
66	654.3326604213338	9.344389008333334	-1		
67	192.0554935417959	0.6031894532989692	94		
68	383.242602454449	6.20656543888889	20		
69	448.3052736928712	4.798482108333333	-1		
70	533.3845733660888	9.84061858	-1		
71	182.081216062684	2.384231392622952	74		
72	445.35356022952976	4.121448792307692	201		
73	490.3751613108608	4.142185442857143	201		
74	225.07560668991687	3.960327567999999	949	74.0	Massbank:EA015003 Trinexapac|4-[Cyclopropyl(hydroxy)methylene]-3,5-dioxocyclohexanecarboxylic acid
75	295.12864109740013	2.334520652459016	74	75.0	H-gamma-glu-phe-oh
76	345.1181335449219	3.384189733333333	193		
77	409.14759521623535	3.41016793	-1		
78	314.09098752434795	1.4313475249999998	298		
79	405.1275146484375	2.09125558	-1		
80	513.2671485361891	3.989856142307692	-1		
81	531.284901338465	3.929020294117647	122		
82	261.1936950683594	4.4821964	-1		
83	466.2648266313557	4.374498611864407	260	83.0	(2R,3S,4S,5R,6R)-2-[[(2R,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-[(2E)-3,7-dimethylocta-2,6-dienoxy]oxane-3,4,5-triol
84	165.0546595637629	4.090128267647058	105		
85	285.03941781204657	3.3074233285714283	115		
86	430.12835693359375	2.1518474	-1		
87	192.05115661672363	3.81331506	908		
88	489.23132705731206	3.3757012708333343	-1		
89	564.206079339318	2.864502719230769	-1		
90	291.1812265919864	2.503378068656716	167		
91	323.1389030459351	3.7070584049999993	-1		
92	336.086722056427	6.329043658333334	200		
93	558.3060989379883	7.4443873	-1		
94	317.2091084037714	7.666409471681415	-1		
95	652.4109089335738	3.370771919672133	11		
96	620.4364826621792	7.818587784873951	438		
97	611.4671923206844	10.759175549295772	-1		
98	529.3739471497069	3.58787816	201		
99	764.529778134685	10.84127724719101	15		
100	261.1599319460083	2.8713669	-1		
101	227.1753995909256	2.2598455100000003	-1		
102	450.1607820311102	2.1751612088888885	1091		
103	350.2175315100079	3.188396930434781	736	103.0	NCGC00385387-01_C16H28O7_4-(Hydroxymethyl)-1-isopropyl-3-cyclohexen-1-yl beta-D-glucopyranoside
104	771.2463531503106	2.2677894344827587	-1		
105	433.23226929052726	2.181743692307692	-1		
106	298.1648254409993	4.688141450000001	117		
107	206.066875117014	4.404903392682928	54	107.0	Hesperin (Chimeric precursor selection)
108	327.2012072308022	2.4834795406504067	11		
109	709.4446626565231	4.295027541176469	-1		
110	691.4023105628754	8.798660458749998	-1		
111	375.1159612821747	2.0828206574468084	-1		
112	611.1605805065104	2.453692166666667	285	112.0	Massbank:PR303377 NP-006989(12)
113	225.1485176103141	2.6782300647619053	296		
114	413.12029520670575	3.8714508666666654	-1		
115	792.5612848556754	11.019360168831168	15		
116	187.1189193734131	0.6362054775	-1		
117	593.4408126831055	10.170518349999998	-1		
118	451.2330255290022	4.766222651219511	857		
119	350.27051099280806	8.220266491666669	332	119.0	Ala-C18:3
120	482.86044446183865	10.251706588235294	11		
121	152.1120351155599	2.1564487333333333	-1		
122	223.0607203208062	3.240792253225807	1504		
123	287.28013472346635	2.701635181818182	7		
124	353.1342578850556	2.0660144594202894	-1		
125	235.1441552751421	2.028503434	18	125.0	Massbank:PR311078 Coumaroyl putrescin
126	697.1611328125	3.2219833333333336	-1		
127	510.3558264180298	8.310944082999999	370	127.0	Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14
128	337.1754311465183	2.3647357	373		
129	591.204625059225	2.9100960092307693	-1		
130	502.11913045247394	1.9004208333333328	-1		
131	353.2300293923494	5.492873602631579	-1		
132	313.2734589322743	8.791863812359553	-1		
133	328.9153900182813	0.520178006	101		
134	382.1287563568905	3.175594852941176	30	134.0	(6S)-6-[[(5R)-5,6,7,8-Tetrahydro-6,6-dimethyl-1,3-dioxolo[4,5-g]isoquinolin-6-ium]-5alpha-yl]furo[3,4-e]-1,3-benzodioxol-8(6H)-one
135	507.1489667904663	4.066755825	-1		
136	221.0419446592589	1.3556583797297297	-1		
137	538.228138078962	3.139620545714286	462	137.0	NCGC00180259-02!2-(hydroxymethyl)-6-[4-[(2S,3S)-3-(hydroxymethyl)-5-[(E)-3-hydroxyprop-1-enyl]-7-methoxy-2,3-dihydro-1-benzofuran-2-yl]-2-methoxyphenoxy]oxane-3,4,5-triol
138	174.18527115370253	3.8308484229508215	124		
139	255.06544113255308	5.80329045	-1		
140	366.3004434206372	8.561271992000002	74		
141	375.2041154403409	2.6023279818181817	-1		
142	386.29078674550783	6.575431706666666	-1		
143	309.133148671403	3.3522791020833336	706		
144	483.1277058919271	3.6149674	1154		
145	364.32118328356273	7.15106962837838	641		
146	434.2749605463763	2.9582741014285707	-1		
147	538.219650543093	3.553626517857143	-1		
148	518.3325101420804	4.105646565384616	-1		
149	386.3266104431585	7.169390838709676	62		
150	599.4095146288038	6.705587006172838	-1		
151	556.3115844726562	4.8608689	-1		
152	319.063880120448	0.8252430621052631	116		
153	631.2527750660156	9.44597262	-1		
154	266.1598146799638	0.52528125	231		
155	283.20565073595554	7.923434968421053	88		
156	569.2951680508219	4.319746753333333	-1		
157	538.2860717788086	2.62100118	81		
158	473.38507270933536	4.794732633333333	201		
159	458.2758300812501	1.72742476	201		
160	481.4728593285786	11.631015203252034	-1		
161	397.18365388821707	3.831709725490197	589		
162	291.0696252951112	1.1548974600000002	-1		
163	307.19021298902163	5.894506300840336	1449		
164	612.4270377804645	9.911396047826088	-1		
165	466.2932407179242	6.257571082352941	-1		
166	563.0693191881127	10.696092784313723	352		
167	570.3537597658819	8.275895815789472	-1		
168	256.0800209050598	5.4533983500000005	-1		
169	377.0842440551777	2.266388346428572	40	169.0	PD162935
170	418.2073237871721	3.1208807828571423	-1		
171	342.17598222459327	2.3970354171052635	246		
172	519.2353286743164	7.624082925000001	-1		
173	338.13873354685467	6.8473413	947		
174	241.093382520223	0.8581019199999999	1506		
175	575.1737050739903	3.197845635483871	-1		
176	495.3084726334992	9.6812999125	-1		
177	351.2144071454054	5.53898030588235	-1		
178	551.89204067787	10.905883388888888	-1		
179	295.2268143327817	7.7168638317073155	348	179.0	Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14
180	377.232479096283	5.36779643125	43		
181	337.08939700802955	1.845539933333333	-1		
182	253.191087723877	2.9284001375	457		
183	496.1823591765509	3.3180548727272723	-1	183.0	Calceolarioside A
184	434.1657700805005	2.7009514123076928	260	184.0	(2S,3R,4S,5R)-2-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-2-(2-phenylethoxy)oxan-3-yl]oxyoxane-3,4,5-triol
185	506.3605223195917	8.257075585714286	271		
186	563.4317514550012	10.904712315789476	-1		
187	369.118160330337	3.0069988897959186	106	187.0	Curcumin - 40.0 eV
188	293.211230766921	6.281766232520323	-1		
189	362.2692009714749	6.387425551612903	-1		
190	758.4608306884766	6.35104008	-1		
191	375.268274143764	8.785881811428567	-1		
192	352.2480408588454	5.889406243661974	-1		
193	504.11356353759766	3.3189489	215		
194	349.0896110534668	3.424876075	65		
195	546.282963116587	7.396389897297297	623		
196	395.0951113020746	2.8867633904761907	-1		
197	370.2956256866455	9.0737269125	-1		
198	959.5695013881956	10.824732953703707	-1		
199	450.2589784520048	3.4506197764705884	569		
200	389.17029010216135	3.887324279245281	206		
201	245.0954201331928	2.6562793307692307	35	201.0	biotin CollisionEnergy:102040
202	545.2000732424316	4.45540716	-1		
203	354.1913430360108	3.3467456857142857	-1		
204	381.0578154325698	2.039597126984128	-1		
205	614.2957865397135	7.836450599999999	-1		
206	423.3105534383059	7.89102792903226	-1		
207	361.16575114208985	5.562026066666667	-1		
208	357.1160310447612	2.998007289473684	391		
209	365.12162611219617	2.810270588888889	562		
210	340.2595077696753	2.6471287988764063	1009		
211	459.3554288308871	7.404085588888889	-1		
212	567.7941741982422	4.9920244	-1		
213	320.2560068768459	8.004175830081303	-1		
214	964.7128467615566	10.250782050000002	11		
215	217.1588163390808	11.540596625	-1		
216	454.36383797913646	2.710958651428572	1232		
217	583.3611195944418	3.625879311111111	201		
218	406.3792485253198	5.425402137499999	-1		
219	202.12531527493283	3.754649023529412	327	219.0	Massbank:PR310886 9-methanesulfinylnonanenitrile (isomer of 665)
220	410.2900456766478	5.661967053333332	61		
221	435.128265386084	3.02512696	45	221.0	"""Prunin, Naringenin-7-O-glucoside CollisionEnergy:102040"""
222	222.01958333791467	1.3734159345679011	-1		
223	240.0684585571289	2.98011675	-1		
224	189.1639288339917	8.892687224000003	-1		
225	255.9429861664561	0.523426973195876	101		
226	378.1924277422145	4.361946666666666	71		
227	638.330316164087	7.555794219999998	-1		
228	287.88844521934766	1.4127414687500002	101		
229	212.1645303092153	3.1209128116666656	-1		
230	773.1918621073914	2.8215783031250004	437		
231	667.2880249023438	8.75292645	-1		
232	224.1079864501953	3.7494289	-1		
233	292.18438975118005	3.6318167416666665	692		
234	623.2856970278224	10.080163079999991	-1		
235	768.5894266821291	9.963688888888887	68		
236	210.05989576730025	2.6377188	-1		
237	360.16564360244024	2.1947568809523808	968		
238	280.2635326386482	9.04370696810345	-1		
239	472.2905044570923	7.381952350000001	912		
240	183.08627846149204	0.7425166053982303	313	240.0	MANNITOL
241	425.1791807340276	3.030114915384615	273		
242	611.1601548012461	2.7300895873015865	29	242.0	Rutin - 40.0 eV
243	563.4317788037448	11.534297944444443	-1		
244	510.3635677521245	8.451025510447762	-1		
245	275.1256094578571	1.9150165676470592	39		
246	747.3344116210938	4.49803715	-1		
247	292.26346043200687	5.309673592857143	-1		
248	296.20068550183106	4.243088275	854		
249	343.29559053250443	5.8290523504065055	-1	249.0	Massbank: Lauramidopropyl betaine|3-(Dodecanoylamino)propyl(carboxymethyl)dimethylammonium|carboxymethyl-[3-(dodecanoylamino)propyl]-dimethylazanium
250	469.2061128617172	3.473937678125	-1		
251	183.05014461971305	0.6018740365555558	94		
252	223.1803667722514	4.091318253333333	180		
253	601.2774363943481	6.969109285714287	251		
254	391.11529541015625	3.3201574	-1		
255	147.0440792473646	3.027956217431192	250		
256	498.2180752224392	3.4956445888888887	159		
257	289.09283897245746	1.8921584423076925	-1		
258	335.219645121004	6.40912436178862	-1		
259	783.0682373046875	2.46594725	1116		
260	362.14491515078174	2.287196754545455	680	260.0	NCGC00380817-01
261	319.14988148282134	2.536566868750001	294		
262	608.4303002006272	8.619945753846153	-1		
263	504.2710316975911	6.370177766666667	-1		
264	180.10152917966238	0.916964224056604	1257	264.0	Spectral Match to D-Fructose from NIST14
265	371.1680773567901	2.850736752941177	-1		
266	371.0094699884399	1.0144172285000002	-1		
267	516.332206727478	8.682856825	-1		
268	609.2714330523015	9.236436142424242	-1		
269	380.0800142296524	3.35596211875	-1		
270	409.1104730315617	2.5925575631578948	-1		
271	408.3863586434215	10.268737345454545	332		
272	313.2095055339784	3.2778521670103093	-1		
273	584.3583221456909	9.14649885	-1		
274	665.1701812744141	3.805039025	-1		
275	992.7447588898382	10.939563333333334	11		
276	260.18555214320327	2.9689045247787624	61		
277	217.1623341516301	2.696383315384616	39		
278	544.3633117675781	8.688563066666665	-1		
279	415.1233955548744	2.6610862042553194	138		
280	786.4895117538549	9.717416497530865	-1		
281	390.1395188554312	2.8957786769230767	771	281.0	(2S,3S,4S,5R,6R)-6-(3-benzoyloxy-2-hydroxypropoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid
282	407.7334442138672	4.3690692	708		
283	238.0926172228984	1.940243895081968	37		
284	307.2632800025524	7.675835190909092	-1		
285	273.07524475398446	3.7642681799999993	45	285.0	naringenin CollisionEnergy:102040
286	313.178409460882	4.747845015151515	-1		
287	415.3898146824181	9.853201236842104	-1		
288	273.12084444137474	1.782085730645161	-1		
289	700.2449645996094	3.26002901	106		
290	297.0605010986328	3.0883414000000005	257		
291	377.15933227695314	4.40539172	330		
292	467.18888092041016	5.449196649999999	-1		
293	536.4077962255045	9.243924153333332	477		
294	234.0973430106584	5.515212017886181	54		
295	279.1711030851428	2.2407434490196083	18		
296	282.16988945766553	3.3817465035714283	71		
297	182.1177952054104	1.5857615791666673	35		
298	381.31570208597367	11.489494444444448	-1		
299	524.3744335615311	10.007122869387755	11		
300	344.1330668135274	3.411591975	202		
301	339.0479428807373	1.819549141538461	-1		
302	622.1767425537109	4.1230664	509		
303	497.14420116316575	4.710263773469388	51		
304	543.3979321650176	9.39454965882353	-1		
305	487.40079498464974	4.992709375	201		
306	525.2842140212097	7.915216450000001	88		
307	305.128402184284	5.404405479310345	-1		
308	268.96065998163215	0.7553041628125001	-1		
309	549.4118839890225	10.255313626506029	11		
310	446.202169373978	3.634177490697675	92	310.0	CHEBI:167770
